course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_score_mean,gem_score_median,gem_score_mode,gem_score_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_score,course_id,course_level,department,subject,qrd,divisional,gened,course_component,course_title_2023
CHNSE 120A,Intermediate Modern Chinese 003,Zhang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a46f53d1ab66d0e9343873d7d79b99e012ed00b0b87b833ea41b078fb15d7b553268c1bf777eb6559172e0d41e2b0c7d&ReportType=2&regl=en-US,FAS-113793-2228-1-1-003,FAS-113793-2228-1-1-003(Zhang),10.0,11.0,4.8,5.0,5.0,0.4020151261036848,5.0,5.0,5.0,0.0,5.5,4.0,3.0,4.03,4.4,4.5,5.0,0.7,0.7922399999999999,0.8836,0.6476,0.2220501587479729,0.0,0.0,0.0,0.0,"Definitely worth it to take Chinese 120a! I took Chinese BA and BB, and it's pretty much the exact same expectations and workload, so if you've taken them, you'll know what to expect, which is really nice. I got into my study groove and just sailed through the semester on it. There were definitely times (many times) throughout the semester where I felt like I was WAY worse at Chinese than I'd been before, but it wasn't actually true ––– I'm just getting to the point where I know so much Chinese that I can also understand how much I don't know. But I'm truly getting so much better at this language, and it's a huge sense of accomplishment to feel like I get something tangible out of the work and time I put in. The class teaching staff is also amazing!! so it's not a stressful course and is well supported and fun!",0.9904,,0.0,,0.0,113793,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,None,,Lecture,Intermediate Modern Chinese
CHNSE 120A,Intermediate Modern Chinese 004,Yang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d9b7ecfdc937543635374eebe71f36756eb7152f16f2c4eb23c71a70cca48f47076d9af0a61279bd707e1ccb8729ce05&ReportType=2&regl=en-US,FAS-113793-2228-1-1-004,FAS-113793-2228-1-1-004(Yang),6.0,9.0,4.75,5.0,5.0,0.4351941398892446,5.0,5.0,5.0,0.0,3.75,2.5,9.0,3.59,4.75,5.0,5.0,0.5,0.85705,0.87625,0.75,0.0751651736732732,0.0,0.0,0.0,0.0,"Do cumulative review now and then of grammar & vocab (including learning the assigned vocab, previewing the grammar, & practicing reading––which tends to help with both, as well as with intuition for constructions––before class); really take advantage of the lecture slides when preparing for assignments like tests & exams; try to come to class with a bold & gregarious attitude – this is the culture & what may be necessary to feel comfortable speaking",0.9257,,0.0,,0.0,113793,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,None,,Lecture,Intermediate Modern Chinese
CHNSE 120A,Intermediate Modern Chinese 004,Zhang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=da89a1d03aed9ac769dec4053a110d2781f1545ddbd029c8c3b790b108fe4cd14670279afddb4e5340e28cd81ae54df3&ReportType=2&regl=en-US,FAS-113793-2228-1-1-004,FAS-113793-2228-1-1-004(Zhang),6.0,9.0,4.75,5.0,5.0,0.4351941398892446,0.0,0.0,0.0,-1.0,3.75,2.5,9.0,3.59,4.75,5.0,5.0,0.5,0.85705,0.87625,0.75,0.0751651736732732,0.0,0.0,0.0,0.0,"Do cumulative review now and then of grammar & vocab (including learning the assigned vocab, previewing the grammar, & practicing reading––which tends to help with both, as well as with intuition for constructions––before class); really take advantage of the lecture slides when preparing for assignments like tests & exams; try to come to class with a bold & gregarious attitude – this is the culture & what may be necessary to feel comfortable speaking",0.9257,,0.0,,0.0,113793,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,None,,Lecture,Intermediate Modern Chinese
CHNSE 130A,Pre-Advanced Modern Chinese 001,Wang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=197fe07cf9ceadd64e00dafac30542be843363fcb59446e1810f4cd756344f455fbd2a30aaee194faa5eb24ce80828c8&ReportType=2&regl=en-US,FAS-159629-2228-1-1-001,FAS-159629-2228-1-1-001(Wang),10.0,11.0,4.33,5.0,5.0,0.8192137151629671,4.33,5.0,5.0,1.2489995996796797,8.44,9.0,10.0,3.5,4.33,5.0,5.0,0.87,0.8076166666666666,0.8815999999999999,0.8225,0.2438012011181788,0.0,0.0,0.0,0.0,"Chinese 130a is similar to the 120 series but different too. The way the course is run is exactly the same, and the quality of the teachers is just as wonderful. However the material gets super super hard, and a lot of the vocabulary starts sounding similar and meaning similar things. As someone who did really well in Chinese 120 (A, A–), Chinese 130a is not the same. Even the vocabulary starts becoming more niche and less useful, like ""euthanasia"" and ""real estate"" and ""country bumpkin."" The vocabulary is clearly very specifically designed for particular topics of discussion. If you want to use Chinese professionally in a humanities aspect, this course is great and will help you learn the vocabulary necessary for social studies conversation. However, if you don't want a citation and just want to learn more Mandarin, I would unfortunately recommend that you look elsewhere.",0.9914,,0.0,,0.0,159629,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Pre-Advanced Modern Chinese
CHNSE 130A,Pre-Advanced Modern Chinese 002,Wang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9a20a156d4ab6ecd307201743bdf799842584cfb743a2ef2330c7ea9c903c3f7ddc3b0df1fb6b7eac3fc3e757aa7cffd&ReportType=2&regl=en-US,FAS-159629-2228-1-1-002,FAS-159629-2228-1-1-002(Wang),12.0,12.0,4.7,5.0,5.0,0.4605661864718383,4.8,5.0,5.0,0.4020151261036848,7.56,7.0,5.0,2.96,4.6,5.0,5.0,0.7,0.6995571428571429,0.8173,0.1531,0.2943144285575256,0.0,0.0,0.0,0.0,"Def take if you want the citation, similar to 120 but more content, great teachers, would recommend if you want to learn more mandarin and feel more comfortable with the language.",0.9502,,0.0,,0.0,159629,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Pre-Advanced Modern Chinese
CHNSE 130A,Pre-Advanced Modern Chinese 003,Wang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c69e72e93304325641bc5212540e042724f5ff1eeea930b496a7337661209ba569c9c34de007802183df41052e4f1b6b&ReportType=2&regl=en-US,FAS-159629-2228-1-1-003,FAS-159629-2228-1-1-003(Wang),9.0,9.0,4.38,4.0,4.0,0.4868569635635265,4.38,4.0,5.0,0.70317525947985,6.63,6.5,7.0,2.2,4.63,5.0,5.0,0.52,0.5274,0.88825,0.8907,0.7603484069819573,0.0,0.0,0.0,0.0,"KEEP TAKING CHINESE! It is always the most fun, best taught class of the semester for me and you gain a really cool community through  your classmates. I will never stop recommending this department to people I know.",0.9455,This class is a step up in work load from Chinese 120.  The structure of the class is essentially the same but you learn more vocab and move faster. Just try to keep up with the vocab as much as you can or you'll be forced to cram it all in before the review tests and exams.,-0.6124,,0.0,159629,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Pre-Advanced Modern Chinese
CHNSE 130XA,Pre-Advanced Modern Chinese for High-Proficiency Learners 001,Chen,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6eb045f06f21856e20ecce302e4592781d14acccfdf7d958f09df02a16b21d632d3602008420ee6cd4b3560df1ca4bf8&ReportType=2&regl=en-US,FAS-124235-2228-1-1-001,FAS-124235-2228-1-1-001(Chen),13.0,14.0,4.85,5.0,5.0,0.3588702812826367,5.0,5.0,5.0,0.0,6.31,6.0,5.0,2.18,4.92,5.0,5.0,0.28,0.7544,0.8968,0.969,0.3852905689216905,0.0,0.0,0.0,0.0,"This course is phenomenal. The Harvard Chinese Department is truly amazing in creating courses that really help you improve your Chinese while still being fun and creating a comfortable class environment. Almost everything about this course was done right. The lectures and sections were always fun, yet informative. Structural boundaries were in place to make sure that lessons did not go off topic, but enough leeway was given to create a comfortable and fun environment where students felt willing to speak up and learn and make mistakes. The units were great in covering lots of vocabulary and content on real life issues. Finally, both of the teachers were very responsive, attentive, understanding, and relatable — our class even had a hot pot lunch outing after the class was finished because of how close everyone got and how much we loved our teachers :) Highly recommend.",0.9933,"be ready to work and do it consistently – if you're not committed to learning the language, you will never succeed",-0.2363,,0.0,124235,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Pre-Advanced Modern Chinese for High-Proficiency Learners
CHNSE 136R,Introduction to Chinese in the Humanities 001,Liu,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2948969e0484a144f6b234fe92dbfaa1455053c4f32508b59db976f388f8f46c3bf3b4bc0841c228037b37f320ef5865&ReportType=2&regl=en-US,FAS-220038-2228-1-1-001,FAS-220038-2228-1-1-001(Liu),21.0,23.0,4.63,5.0,5.0,0.4852365870939097,4.88,5.0,5.0,0.3265986323710904,5.47,5.0,4.0,2.14,4.7,5.0,5.0,0.57,0.76957,0.9146,0.953,0.3477591792861517,0.0,0.0,0.0,0.0,Take this class!! Honestly it may seem intimidating at first (especially looking at the original language of the texts) but the teaching staff works with you and walks you through it and you will honestly learn so much. You're grasp of more formal Chinese will increase significantly and it will give you much more confidence in being able to speak on more serious issues in Chinese (but also honestly English too since I really do believe the class help me think about and understand modern issues better in general).,0.9767,,0.0,,0.0,,,,,,,,,
CHNSE 140A,Advanced Modern Chinese 001,Zhang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3ba4aa49ddd39316f6a767a8402030d961afee0ff8081b76b5146e28926d92b95855a88014bc583d3f9fcdab133d2e59&ReportType=2&regl=en-US,FAS-111129-2228-1-1-001,FAS-111129-2228-1-1-001(Zhang),8.0,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,9.83,8.5,5.0,5.71,5.0,5.0,5.0,0.0,0.941325,0.94935,0.9948,0.0511693511782199,0.0,0.0,0.0,0.0,"If you're coming from 130a/b, I really encourage you to take Chinese 140a/b! 130a/b starts to scratch the surface of formal Chinese and more ""elegant"" language, but 140 goes to a far greater depth, giving you tools to handle business situations or conflicts gracefully and politely.  In the past, I was hesitant to discuss controversial topics in Chinese because I felt that I couldn't fully express the complexity of my ideas/perspectives with my somewhat limited vocabulary and sentence structures. After taking this course, I feel much more confident in tackling nuanced and sensitive topics, since I've learned grammar structures and vocab that can help me express my ideas clearly and elegantly.As for the logistics of the course, the teaching staff are absolutely wonderful as always. The lectures are so engaging and touch on many different topics, ranging from pop culture to international relations to Chinese culture, so you'll have many opportunities to practice different kinds of grammar structures and vocabulary. This course does tend to have slightly more assignments than 130 (discussion posts, reading, etc.), but the extra practice is well worth it. All of the assignments and tests are at an appropriate difficulty level; in other words they are difficult enough to challenge you and help you improve, but very manageable and can fit in a busy course schedule (for reference, I spent an average of ~5hr/week most of the time, maybe a couple hours extra on weeks with big essay deadlines). I honestly love the Chinese department so much, and I can't speak about this course highly enough!",0.9948,,0.0,,0.0,111129,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Advanced Modern Chinese
CHNSE 140XA,Advanced Modern Chinese for High-Proficiency Learners 001,Yu,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a25f86acb145029aa076f370043c3c02fcf7d5e1879bed90a503eff3ed4b21c371b5c111f1020058b02c186ace46aeb9&ReportType=2&regl=en-US,FAS-207494-2228-1-1-001,FAS-207494-2228-1-1-001(Yu),6.0,8.0,4.67,5.0,5.0,0.4725815626252608,5.0,5.0,5.0,0.0,4.33,4.5,5.0,1.37,4.83,5.0,5.0,0.41,0.8626,0.844,0.844,0.0809194661376359,0.0,0.0,0.0,0.0,"I can't recommend this course enough! Yu laoshi and Cai laoshi are very kind and super engaging in class. The workload is definitely manageable—while you do get a fair amount, as long as you put effort in, you'll be just fine. And the teachers are always very available and willing to help.",0.9512,,0.0,,0.0,207494,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Advanced Modern Chinese for High-Proficiency Learners
CHNSE 140XA,Advanced Modern Chinese for High-Proficiency Learners 002,Yu,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3426f7dc8941111e0421fbacf3af90ee653d32d5a02ca20f2148d81c0dafad9d55078ea7da09f8e671c6f317a6a607f5&ReportType=2&regl=en-US,FAS-207494-2228-1-1-002,FAS-207494-2228-1-1-002(Yu),7.0,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,6.0,5.0,5.0,4.08,5.0,5.0,5.0,0.0,0.8974333333333333,0.943,0.9803,0.1127792681893854,0.0,0.0,0.0,0.0,"Chinese 140XA is a really fun and engaging class! Every day, I looked forward to the class, especially due to the bond we had formed amongst the class. Some of the topics can be tricky and hard to understand, but the laoshi's are all super nice and friendly, and it made the trek to Vanserg that much more bearable. I highly recommend taking the class, whether it be for citation or just for fun.",0.9803,,0.0,,0.0,207494,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Advanced Modern Chinese for High-Proficiency Learners
CHNSE 150A,Readings and Discussions in Academic and Professional Chinese 001,Wang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e84f24041388cfda69e91faf593da4a9e85feb9f24ce992971750c7dd91268a3e0da0ba9c0a4fee14c11108e078a6a88&ReportType=2&regl=en-US,FAS-119757-2228-1-1-001,FAS-119757-2228-1-1-001(Wang),9.0,10.0,4.78,5.0,5.0,0.4163331998932265,5.0,5.0,5.0,0.0,6.89,5.0,5.0,5.44,4.78,5.0,5.0,0.44,0.8262,0.8617,0.9039,0.1074694840408197,0.0,0.0,0.0,0.0,"The entire Chinese language program at Harvard is fantastic, and I really recommend taking Chinese classes, even if you feel that it is a large time commitment! The program is well–structured, and you truly do learn a lot.",0.9039,,0.0,,0.0,119757,For Undergraduate and Graduate Students,East Asian Langs & Civ,Chinese,,Arts and Humanities,,Lecture,Readings and Discussions in Academic and Professional Chinese
CHNSHIS 234R,The Historiography of Early Chinese History 01,Puett,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=02a85bf7d029c0f9a3e4ce07897f8c212a969bca79737096c93114d8da1273f50ba1e71ca165dba7747df30f2cb82b68&ReportType=2&regl=en-US,FAS-114371-2228-1-1-01,FAS-114371-2228-1-1-01(Puett),7.0,14.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,7.0,6.0,10.0,2.65,5.0,5.0,5.0,0.0,0.9849,0.9849,0.9849,-1.0,0.0,0.0,0.0,-1.0,"This was such an amazing, amazing course! I think the one of the best ways of learning about the world is by learning about a part of the world that you don't know much about. The course is mainly on Western thought toward China and helped me break down preconceived notions about China and ""the East."" Hands down the best course I've taken at Harvard so far. Professor Puett is actually one of the best people on the planet. He is so kind and understanding. He also has a way of always validating your thoughts even when you feel like they are dumb. As an undergraduate who has taken the class, I would say it's very doable and would highly encourage other undergrads to take the course.",0.9849,,0.0,,0.0,,,,,,,,,
CHNSLIT 229R,Topics in Early Medieval Literature 01,Tian,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=72eaa54f4a7983e814caf54507e2f0fc0cd1a82d39552cd673263a09811e5aa2dbaf18a4e4cd5e8004e087967418e259&ReportType=2&regl=en-US,FAS-124534-2228-1-1-01,FAS-124534-2228-1-1-01(Tian),5.0,9.0,4.6,5.0,5.0,0.4923659639173309,4.6,5.0,5.0,0.4923659639173309,10.6,10.0,18.0,4.88,4.4,5.0,5.0,0.89,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,,0.0,,0.0,,0.0,,,,,,,,,
CHNSLIT 290,Early Modern Chinese Literature: Seminar 91,Kelly,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=68cc84320559f6c4e06fa9b6623871a3ee43e7b74e644e63532479b5039def82feb0be26ab1405c056f202ac831b6790&ReportType=2&regl=en-US,FAS-220085-2228-1-1-91,FAS-220085-2228-1-1-91(Kelly),7.0,11.0,4.5,4.5,4.0,0.502518907629606,4.83,5.0,5.0,0.3775251680686369,10.0,7.5,20.0,7.29,4.5,4.5,4.0,0.55,0.887,0.887,0.887,-1.0,0.0,0.0,0.0,-1.0,"this class is an intriguing foray into the world of Li Yu, as well as into the rich space of theatrical and creative thinking that characterizes the Ming and Qing periods. It does rely heavily on xianqing ouji, which is a must–read for anyone doing Chinese literature as a primary research field, but don't be scared of how weird the book might seem––it's really good!",0.887,,0.0,,0.0,,,,,,,,,
EAFM 222,Media Cultures in the People's Republic of China 01,Li,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5d3298e527fa687681aef3e573c4d99da7c809a2af122f4d719cad0d5933512243b0ac834ef8187910b79cd22bd1db49&ReportType=2&regl=en-US,FAS-110471-2228-1-1-01,FAS-110471-2228-1-1-01(Li),11.0,13.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,7.0,7.0,9.0,1.58,5.0,5.0,5.0,0.0,0.6482,0.658,0.658,0.0466780462316065,0.0,0.0,0.0,0.0,take it! prof. Li is great!,0.6892,,0.0,,0.0,,,,,,,,,
EASTD 154,Threads: Histories and Theories of Clothing and Fashion 01,McCormick,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ac5e57214cf85e93c531b9a6d682b5d97d6c2de000c62c8110174715e74f78114c8df88d315917421123226dbb51685e&ReportType=2&regl=en-US,FAS-220091-2228-1-1-01,FAS-220091-2228-1-1-01(McCormick),16.0,22.0,4.58,5.0,5.0,0.7677857445244406,4.67,5.0,5.0,0.7550503361372738,4.25,4.0,5.0,1.86,4.5,5.0,5.0,0.8,0.8528,0.92785,0.8715,0.1945782618896571,0.125,0.0,0.0,0.3535533905932738,"I highly recommend this course if you are interested in fashion or history. While I didn’t have a strong background in either, the course was an excellent gateway. Every lecture was interesting and I felt like the Professor was always eager to answer our questions or promote discussion. The section is honestly the best part of the course. Getting to view garments in museums or doing hands on fabric dyeing added so much to the experience.",0.9817,,0.0,"This course is definitely a gem of Harvard. The students who take it are so engaged and knowledgeable about fashion across time, and so the class discussions are always lively and participatory (no silent, awkward classroom vibes). Professor McCormick and Carolyn, our TF, also poured so much of their hearts into making the class experience flow super smoothly, and really encouraged us to think across weeks in the course, so it definitely is one to take if you would like to engage in synthesis–level thinking. The course staff were also super reachable outside of class and receptive to student ideas. This is also a really accessible introduction to HAA –– I had never taken an HAA course before taking this course. Take this course if you have any interest in fashion, embodiment, and body.",0.9812,,,,,,,,,
EASTD 197,China's Cultural Revolution 01,Koss,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=96cb96e14f200778afee6206d6b71f37a900c92f8efcea61b3a7717963fb8711c9ad0ab06688ad22a8864164dcd80e38&ReportType=2&regl=en-US,FAS-212976-2228-1-1-01,FAS-212976-2228-1-1-01(Koss),19.0,24.0,4.53,5.0,5.0,0.5938234271450248,4.69,5.0,5.0,0.7613783354528613,4.67,5.0,5.0,1.78,4.58,5.0,5.0,0.77,0.8946333333333334,0.917,0.917,0.0822745252189278,0.0,0.0,0.0,0.0,"This is a great class if you're interested in the intersection of political science, history, and China. Although the title of this class is the ""Cultural Revolution,"" the material covered in lecture actually spans from early communist China to the beginning of the Reform and Opening Up. Lecture can sometimes be boring, especially if you're not particularly drawn to China. Professor Koss, however, is an excellent lecturer and wonderful person. Definitely go to his office hours. The most important element of this course (grade–wise at least) is the final paper. There is lots of autonomy in choosing your topic, and you can basically write on whatever you want as long as it relates to the Cultural Revolution.",0.9516,,0.0,,0.0,,,,,,,,,
EASTD 270,Historiography of Modern Japan and Korea: Proseminar 01,Eckert,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8440f77528d818e7b6dfcdf3929009fba8ef0acb22041f293d7881f41d0306e33ce0d8df4ec9e37a07213a020833a964&ReportType=2&regl=en-US,FAS-220045-2228-1-1-01,FAS-220045-2228-1-1-01(Eckert),9.0,12.0,4.88,5.0,5.0,0.3365521159236311,5.0,5.0,5.0,0.0,8.5,10.0,10.0,2.73,4.63,5.0,5.0,0.52,0.89152,0.9066,0.9678,0.0824006796088478,0.0,0.0,0.0,0.0,"This is an excellent class but requires you to be thoroughly interested and knowledgeable in both Korean and Japanese history at an academic level. Historiography can sometimes feel arcane and deeply academic, so you must enjoy the content or it will be difficult to get through the readings/classes. As much as this is true for all classes, it is particularly true for this one. Most students in the class are masters (RSEA) or early PhD students. The course material and discussion quality reflects the calibre of its students. Hence the readings are long and hard and you will very often feel lost but by the end of the class, it will feel worthwhile in that you will have accumulated a very deep understanding of the different historical arguments surrounding big topics in Korean/Japanese history. That is what this class teaches you: to differentiate between historical arguments made by different authors on the same topic. It teaches you to become a more discerning and critical reader. But to achieve this, you must have a strong foundation in both Korean and Japanese history. Some experience in historiography would be helpful too. If you are interested in doing a PhD / going into academia, this is a good class to take.",0.9678,,0.0,,0.0,,,,,,,,,
EASTD 270,Historiography of Modern Japan and Korea: Proseminar 01,Gordon,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=17fdb4249bf066fca755376922b0ff5bbfbe7d0737ca7a3975832857136aa796975b62733997ec2178974f01746727d3&ReportType=2&regl=en-US,FAS-220045-2228-1-1-01,FAS-220045-2228-1-1-01(Gordon),9.0,12.0,4.88,5.0,5.0,0.3365521159236311,5.0,5.0,5.0,0.0,8.5,10.0,10.0,2.73,4.63,5.0,5.0,0.52,0.89152,0.9066,0.9678,0.0824006796088478,0.0,0.0,0.0,0.0,"This is an excellent class but requires you to be thoroughly interested and knowledgeable in both Korean and Japanese history at an academic level. Historiography can sometimes feel arcane and deeply academic, so you must enjoy the content or it will be difficult to get through the readings/classes. As much as this is true for all classes, it is particularly true for this one. Most students in the class are masters (RSEA) or early PhD students. The course material and discussion quality reflects the calibre of its students. Hence the readings are long and hard and you will very often feel lost but by the end of the class, it will feel worthwhile in that you will have accumulated a very deep understanding of the different historical arguments surrounding big topics in Korean/Japanese history. That is what this class teaches you: to differentiate between historical arguments made by different authors on the same topic. It teaches you to become a more discerning and critical reader. But to achieve this, you must have a strong foundation in both Korean and Japanese history. Some experience in historiography would be helpful too. If you are interested in doing a PhD / going into academia, this is a good class to take.",0.9678,,0.0,,0.0,,,,,,,,,
JAPAN BA,Elementary Japanese 001,Kageyama-Hunt,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a6fc492e3b6c6c430928a65890abffc8b5dc5f8d3a9f1e946ada6c8b626bd4c426166413629489a6f1af29daf758aedc&ReportType=2&regl=en-US,FAS-111193-2228-1-1-001,FAS-111193-2228-1-1-001(Kageyama-Hunt),15.0,20.0,5.0,5.0,5.0,0.0,4.91,5.0,5.0,0.2876234912646613,8.85,7.0,10.0,4.74,4.92,5.0,5.0,0.28,0.904275,0.9165,0.9184,0.0755172023921891,0.0,0.0,0.0,0.0,"I would highly recommend Japan BA if you are interested in learning Japanese. The class is particularly diverse in the students who take it. My class came from a variety of the graduate schools, and even undergrad students had diverse interests and reasons for learning Japanese. I came in without having learned Japanese before, and although the learning curve initially is a bit higher than those who have been exposed to the language previously, I truly did not feel hindered or at a disadvantage. This was the most well–thought out, well–planned, course I have ever taken. You will be amazed at how much you learn each week. The quality and joy for learning that Kageyama sensei and our awesome TFs nurtured throughout lecture and section was truly incredible. Another important aspect of the course to note is that there is an abundance of additional resources that perfectly align with the course on the Canvas page. Take advantage of them! The textbook and accompanying app for audio (you can download it for free) matched lecture perfectly and were excellently prepared as well. I have never felt so supported in a course and unlike other courses where the book or reference material doesn't match class, all the units are very systematic and if you ever get confused or need clarification, the book is guaranteed to have the answers to your questions. The course staff also holds ""Nihongo Chat Hours"" every week if you want more practice speaking or just one–on–one time to review. The course is one you need to dedicate time to, but it will be a rewarding and fun experience. You'll see how deeply Kageyama sensei and your TFs are dedicated toward giving you an authentic, rigorous, and eye–opening experience in learning Japanese language and culture. They are some of the most professional and caring course staff I have had the pleasure of working with, and it shows in how much all of us in class felt we wanted to do our very best for them. Overall, taking Japan BA was an invaluable experience and it's one of those courses that has deeply impacted my continued interest in Japan and for other cultures in general.",0.9958,,0.0,,0.0,111193,For Undergraduate and Graduate Students,East Asian Langs & Civ,Japanese,,None,,Lecture,Elementary Japanese
JAPAN BA,Elementary Japanese 002,Kageyama-Hunt,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d3eba66b17c4cf6c916e851c0903a0461f6c4e1af5c29ca299f64c04831d0494afda34e697a04631d278b426fca034bd&ReportType=2&regl=en-US,FAS-111193-2228-1-1-002,FAS-111193-2228-1-1-002(Kageyama-Hunt),7.0,15.0,4.86,5.0,5.0,0.348735088019777,5.0,5.0,5.0,0.0,7.71,8.0,8.0,2.69,4.43,5.0,5.0,0.79,0.51386,0.4306,0.0,0.398291147277968,0.0,0.0,0.0,0.0,"This was hands down my favorite class of the semester. Kageyama–sensei, Sakomura–sensei, and Nakatani–sensei are all fantastic. You will learn so much (and you can ""practice"" by watching anime!) This is the BEST way to fulfill the language requirement (but it is so much fun so you might end up like me and decide to take it every year from now on and try to study abroad in Japan (on Harvard's money!))Some tips: –if you're bored over the summer before the semester starts, try to learn the Japanese alphabet––hiragana (and katakana) if you have time, you don't need to––they teach you, but knowing it really gives you a leg up, here's a super good website for hiragana: https://www.tofugu.com/japanese/learn–hiragana/ (they also have a katakana one)–don't get behind in the vocab, in addition to the workbook always take time to memorize the vocab––it is so much harder to learn the grammar and understand lecture if you get behind on the vocab, quizlet if your friendAbsolutely take this course, it was so much fun :)",0.9845,,0.0,,0.0,111193,For Undergraduate and Graduate Students,East Asian Langs & Civ,Japanese,,None,,Lecture,Elementary Japanese
JAPAN BA,Elementary Japanese 003,Kageyama-Hunt,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a9c52ec3746bebc8512f35ce2928daa224b783347eb1e3ffcf74e447e49e44054a9064dd55c9176eec3758029c24b741&ReportType=2&regl=en-US,FAS-111193-2228-1-1-003,FAS-111193-2228-1-1-003(Kageyama-Hunt),5.0,8.0,4.75,5.0,5.0,0.4351941398892446,5.0,5.0,5.0,0.0,6.5,6.5,10.0,2.89,4.25,4.5,5.0,0.96,0.6963666666666667,0.6369,0.6369,0.2221518024534875,0.0,0.0,0.0,0.0,"I cannot reinforce how much you should take this class! Kageyama–sensei is the best Japanese teacher in the world, and she truly cares about each one of her students and will make sure that everyone in her class will succeed (and learn way more Japanese than any other student could ever learn in 3 months).",0.9422,,0.0,,0.0,111193,For Undergraduate and Graduate Students,East Asian Langs & Civ,Japanese,,None,,Lecture,Elementary Japanese
